listing_id,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30
922858811534826748,78544.0,0.0,f,4.07,488.24500183806487,Both,5.32,t,8.0,t,6
922869822198403300,2200.0,0.0,f,0.0,489.8628758611649,only identity,0.0,f,0.0,t,28
922905478365719063,2800.0,0.0,t,5.0,5.286658858414812,Both,5.34,t,7.0,t,10
922960026906387018,884126.0,0.0,f,4.82,1.6796561374309336,Both,6.99,t,7.0,t,7
923037501353994125,1300.0,0.0,f,0.0,1.234721465780256,Both,0.0,f,0.0,t,3
923253010248375293,2580.0,0.0,f,5.0,3.855206085764145,Both,5.37,t,7.0,t,7
923265371531030484,1190.0,0.0,f,4.75,3.8180694127366808,Both,2.11,f,8.0,t,30
923289523695416017,3500.0,1.0,f,0.0,80.97618991697942,Both,1.0,t,7.0,t,3
923312099549534892,500.0,3.0,f,0.0,1.234721465780256,Both,0.0,f,0.0,t,0
923618731475971621,3686.0,0.0,t,0.0,490.1572443129741,only identity,0.0,t,0.0,t,30
923685817169810071,1130.0,0.0,f,4.78,5.973202765973969,Both,3.8,f,7.0,t,9
923706407094186715,1300.0,0.0,f,0.0,488.051470834979,Both,0.83,t,8.0,t,0
923711633967611003,1300.0,0.0,f,0.0,488.051470834979,Both,1.43,t,8.0,t,0
923716307352023112,1300.0,0.0,f,4.0,488.051470834979,Both,2.26,t,8.0,t,0
923722312268426973,1300.0,0.0,f,0.0,488.051470834979,Both,0.0,t,0.0,t,0
923726795519034364,1300.0,0.0,f,0.0,488.051470834979,Both,1.18,t,8.0,t,0
923772711689552428,1965.0,0.0,f,4.25,3.855206085764145,Both,3.64,t,8.0,t,5
923780979323077382,1450.0,0.0,f,4.8,3.8180694127366808,Both,2.08,f,7.0,t,16
923788125588912746,5986.0,0.0,f,4.4,76.68581123938594,Both,3.95,f,8.0,t,0
923790105537899537,800.0,0.0,t,5.0,3.1742847596468065,Both,2.43,f,7.0,t,28
