listing_id,accommodates,bathrooms_numeric,beds,amenities_num,neighbourhood_cleansed_Praha 1,neighbourhood_cleansed_Praha 10,neighbourhood_cleansed_Praha 11,neighbourhood_cleansed_Praha 12,neighbourhood_cleansed_Praha 13,neighbourhood_cleansed_Praha 14,neighbourhood_cleansed_Praha 15,neighbourhood_cleansed_Praha 16,neighbourhood_cleansed_Praha 17,neighbourhood_cleansed_Praha 18,neighbourhood_cleansed_Praha 19,neighbourhood_cleansed_Praha 2,neighbourhood_cleansed_Praha 20,neighbourhood_cleansed_Praha 21,neighbourhood_cleansed_Praha 22,neighbourhood_cleansed_Praha 3,neighbourhood_cleansed_Praha 4,neighbourhood_cleansed_Praha 5,neighbourhood_cleansed_Praha 6,neighbourhood_cleansed_Praha 7,neighbourhood_cleansed_Praha 8,neighbourhood_cleansed_Praha 9,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathrooms_shared_0,bathrooms_shared_1
668908,4,1.5,3.0,102,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
673821,4,1.0,1.0,393,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
679022,4,1.0,3.0,454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
679276,5,1.0,2.0,404,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
681166,3,1.0,1.0,347,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
690105,4,1.0,2.0,468,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
691240,4,1.0,2.0,423,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
691380,3,1.0,2.0,501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
692045,3,1.0,2.0,158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
695142,4,1.5,1.0,1303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
