listing_id,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num
2117148,Praha 1,Entire home/apt,5,1.0,5.0,0,482
2127490,Praha 1,Hotel room,4,1.0,1.0,0,300
2144220,Praha 16,Entire home/apt,5,1.0,4.0,0,819
2175991,Praha 2,Private room,6,1.0,6.0,0,82
2200261,Praha 3,Private room,2,1.0,1.0,1,680
2200533,Praha 3,Entire home/apt,4,1.0,2.0,0,668
2212905,Praha 2,Entire home/apt,8,4.0,5.0,0,619
2224754,Praha 1,Entire home/apt,5,1.0,1.0,0,650
2225678,Praha 1,Entire home/apt,2,1.0,1.0,0,429
2233357,Praha 3,Entire home/apt,2,1.0,1.0,0,77
2245854,Praha 3,Private room,2,1.0,1.0,0,688
2288037,Praha 1,Entire home/apt,2,1.0,1.0,0,770
2295068,Praha 1,Entire home/apt,6,1.0,4.0,0,961
2303830,Praha 2,Entire home/apt,6,1.0,1.0,0,331
2308808,Praha 2,Entire home/apt,5,1.0,1.0,0,315
2311752,Praha 3,Entire home/apt,4,1.5,2.0,0,339
2335148,Praha 2,Entire home/apt,2,1.0,2.0,0,436
2335489,Praha 2,Entire home/apt,3,1.0,1.0,0,358
2335608,Praha 2,Entire home/apt,6,1.0,1.0,0,314
2371086,Praha 1,Hotel room,2,1.0,2.0,0,419
2371153,Praha 1,Hotel room,2,1.0,2.0,0,398
2383361,Praha 1,Entire home/apt,8,2.0,3.0,0,512
2383664,Praha 1,Entire home/apt,4,1.0,2.0,0,503
2394662,Praha 6,Entire home/apt,5,1.0,2.0,0,538
2408226,Praha 1,Entire home/apt,7,2.0,5.0,0,592
2410556,Praha 1,Entire home/apt,6,2.5,3.0,0,1186
2412495,Praha 1,Entire home/apt,7,2.0,6.0,0,954
2415458,Praha 1,Entire home/apt,15,4.0,14.0,0,530
2416049,Praha 1,Entire home/apt,11,1.0,6.0,0,338
2417296,Praha 1,Entire home/apt,3,1.0,2.0,0,559
2444926,Praha 1,Entire home/apt,6,1.0,6.0,0,97
2456742,Praha 1,Entire home/apt,4,1.0,2.0,0,749
2490370,Praha 1,Entire home/apt,4,1.0,3.0,0,601
2497467,Praha 1,Entire home/apt,4,1.0,3.0,0,759
2498320,Praha 1,Entire home/apt,16,3.5,14.0,0,530
