listing_id,date,price,minimum_nights,maximum_nights,in_season,weekend,new_year,busy,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30,sentiment_score
877124632734693299,2024-09-14,1965.0,3,30,0,1,0,0.7671232876712328,Praha 2,Entire home/apt,2,1.0,2.0,0,381,1965.0,2.0,f,4.5,1.6796561374309336,Both,1.62,f,8.0,t,25,0.7129462758700053
12443881,2024-09-14,11616.0,3,999,0,1,0,0.1561643835616438,Praha 3,Entire home/apt,3,1.0,3.0,0,373,1621.0,0.0,f,0.0,3.1742847596468065,Both,0.15,t,8.0,t,7,0.6209677755832672
760765685909186544,2024-09-14,700.0,7,1125,0,1,0,0.915068493150685,Praha 3,Private room,3,1.0,2.0,1,154,700.0,0.0,f,4.67,3.1742847596468065,Both,0.6,t,14.0,t,0,0.5484505146741867
710969469777318764,2024-09-14,605.0,60,180,0,1,0,0.2931506849315068,Praha 3,Private room,1,1.0,1.0,1,141,605.0,0.0,f,0.0,3.1742847596468065,Both,0.0,f,0.0,t,5,
20275864,2024-09-14,5501.0,1,99,0,1,0,0.0465753424657534,Praha 1,Entire home/apt,3,1.0,3.0,0,891,3954.0,0.0,t,4.88,3.855206085764145,Both,3.97,t,7.0,t,16,0.7081928063752287
42246307,2024-09-14,4585.0,3,1125,0,1,0,1.0,Praha 1,Entire home/apt,6,1.0,4.0,0,433,4585.0,0.0,f,5.0,3.855206085764145,only profile,0.14,f,50.0,f,0,0.5147232611974081
937630840667282167,2024-09-14,1758.0,25,365,0,1,0,0.7205479452054795,Praha 5,Entire home/apt,2,1.0,1.0,0,218,1758.0,1.0,f,0.0,483.299372936291,Both,0.0,f,0.0,t,10,
27894475,2024-09-14,4912.0,2,14,0,1,0,0.2,Praha 1,Entire home/apt,4,1.0,3.0,0,450,3438.0,0.0,t,4.98,3.855206085764145,Both,1.55,t,7.0,t,20,0.6781577477329656
20151416,2024-09-14,1965.0,2,1125,0,1,0,0.8273972602739726,Praha 2,Entire home/apt,4,1.0,1.0,0,378,1965.0,0.0,f,4.67,1.6796561374309336,Both,1.87,t,7.0,t,2,0.6414001802746341
26451883,2024-09-13,17442.0,1,999,0,1,0,0.6301369863013698,Praha 2,Entire home/apt,4,1.0,2.0,0,655,17442.0,0.0,f,4.51,2.1081879434824216,Both,2.58,f,7.0,t,17,0.6302553766344222
925375354166422743,2024-09-13,1297.0,1,30,0,1,0,0.8465753424657534,Praha 2,Entire home/apt,2,1.0,1.0,0,766,1297.0,0.0,f,4.93,1.6796561374309336,Both,6.34,f,7.0,t,2,0.6047776122887929
839054199030007597,2024-09-13,3038.0,3,1125,0,1,0,0.7780821917808219,Praha 1,Entire home/apt,2,1.0,1.0,0,564,3038.0,0.0,t,0.0,3.855206085764145,Both,0.21,t,11.0,t,21,0.5588564276695251
853473457589528482,2024-09-13,490.0,1,999,0,1,0,0.2356164383561644,Praha 1,Shared room,1,2.5,15.0,1,382,460.0,0.0,f,0.0,3.855206085764145,Both,0.25,t,11.0,t,20,0.5347185134887695
4138985,2024-09-13,2810.0,2,40,0,1,0,0.6876712328767123,Praha 1,Entire home/apt,2,1.0,1.0,0,791,2810.0,0.0,f,4.89,3.855206085764145,Both,6.87,f,7.0,t,3,0.7120043017524988
